M1.21	74.5798
ERR1474573	74.3598
ERR1474584	73.7463
LN827587	78.9574
NC_009334	85.3285
LN831023	79.2549
LN827560	78.9574
KP968258	79.3933
KP968264	79.4546
KR063344	79.1965
LN827554	74.7488
KP968262	79.2463
KR063342	78.9516
KP968257	79.4651
MG298898	81.2235
LN827591	78.8874
MG298837	77.4177
KP968263	79.0466
KP968261	79.3574
KT273945	77.9329
KC440851	79.2127
LS992254	59.8389
LN827553	75.6448
KT823506	77.7899
KR063343	79.4164
MG298868	77.2719
LN827548	78.257
MG298900	79.4616
LN827588	75.2969
KP968259	79.0454
KC207813	78.9794
LN824225	75.3282
KC207814	79.2792
LS992252	74.0646
MG298856	77.1631
MG298905	77.2001
KT273943	76.9547
LN827569	75.3757
LS992258	76.12
LN827557	78.4967
LN827583	75.3085
KT254013	77.7263
MG298861	77.1908
MG298844	77.2945
LN827592	75.3786
LS992239	71.7065
MG298830	76.6925
LS992276	72.6911
LN827800	79.1369
LN827595	75.1956
KT273947	76.8737
LN827584	75.694
MG298836	69.5232
MG298838	77.4421
MG298825	76.7446
MG298901	77.7951
MG298835	77.2215
MG298849	77.4137
MG298870	76.5842
KT823509	77.1758
LN827555	74.2464
LS992245	75.1279
LN827581	75.4069
LS992253	62.5495
KC440852	79.5849
KF373730	78.6697
LS992256	76.432
KR063345	79.1073
LN827597	75.4046
LN827559	75.7293
JQ009376	76.7486
LS992277	70.9598
LS992255	59.1072
KF992565	77.4149
MG298831	80.4218
LN827563	79.16
LS992251	76.0193
LS992249	73.7127
LN824207	75.6824
LN827594	75.4023
LN827570	75.3502
LN827576	75.3207
LN824205	75.3571
AY961628	79.2144
KF992571	76.9807
MG298860	77.2829
MG298832	76.006
MG298839	77.0328
MG298899	76.9362
LN827522	75.4908
KT273944	77.842
LS992257	76.4592
LS992259	75.125
KT823507	77.3963
KT273942	77.0722
MG298845	77.1081
LN827526	75.283
KF992570	77.4455
LN827567	75.1956
LN827568	75.3357
MG298902	77.4785
MG298847	77.2846
LN827590	75.3166
LN827596	75.3178
LN827799	74.7916
LN824226	75.0365
LN827552	75.2825
KF992566	77.2713
LS992268	75.0359
LN827573	75.2819
KF992567	77.2748
LN824204	75.3745
LS992269	65.5594
LS992261	74.0698
LS992262	72.103
MG298842	79.3377
MG298878	72.7015
LN827586	75.3045
MG298850	76.8644
LN827577	75.279
LN827551	75.4694
MG298827	80.1579
MG298866	76.9663
MG298852	77.4959
MG298903	77.2939
MG298869	76.8337
MG298841	76.2034
LN827579	75.5227
MG298857	77.3755
HQ020558	77.9213
LN827545	74.6261
LN827574	75.6483
LS992260	75.624
KF992568	77.7535
LS992264	72.6766
LS992266	75.602
LN827582	75.2744
LN827585	75.2709
LN827556	74.9253
LN827571	75.2842
MG298881	77.2018
MG298834	77.2997
MG298862	75.7519
LN827561	75.0527
LN827575	75.6089
LN827527	75.3288
LS992242	74.9977
LS992263	74.4328
MG298863	77.427
LN827580	78.8984
KT273948	78.1228
MG298828	77.4322
LN827546	75.2454
KC617875	77.7951
MG298906	77.1052
LS992265	75.7704
MG298840	77.4305
MG298864	76.4482
MG298867	77.4073
MG298879	77.5034
MG298904	77.4369
MG298872	77.2453
LN827523	72.9718
LN824209	75.0857
LS992244	76.0129
MG298892	77.4201
MG298893	80.8143
LN827547	74.9711
MG298858	76.5397
MG298855	76.7504
MG298859	77.2898
KF992564	77.4988
LS992240	76.3973
KF992569	78.1667
LN827589	79.1589
MG298877	76.9657
LN824203	75.1609
MG298823	77.0004
LN827566	75.2842
MG298916	76.5773
LN827562	75.0313
MG298876	76.3672
MG298914	80.0965
KT273946	77.4044
MG298826	76.9975
MG298854	77.4832
MG298865	76.8702
LN824224	75.1036
1998_5_4	75.8798
LN827578	74.8541
LN824142	75.9522
MG298829	77.4988
MG298871	77.0502
MG298875	76.9605
MG298883	77.0247
MG298887	76.5976
MG298843	73.0002
MG298891	77.1752
MG298909	76.5223
MG298911	81.4012
MG298848	76.9732
MG298882	77.0033
MG298890	77.7621
MG298910	76.8656
LN827544	78.9192
MG298896	77.2053
MG298885	77.1677
KT273949	77.919
MG298851	76.3759
MG298846	77.6059
MG298880	77.5416
MG298907	76.7162
MG298888	76.913
MG298894	77.2053
LN827549	75.0706
MG298889	76.9651
MG298912	76.2647
MG298873	77.0375
MG298895	76.4667
MG298913	76.5831
MG298853	76.8453
MG298884	77.1862
MG298915	81.0765
MG298897	77.0803
MG298908	76.9246
MG298824	76.8656
LN827565	75.272
MG298874	76.8627
MG298886	77.0276
LS992246	49.4617
LS992250	75.4017
LS992247	76.3238
KP968260	78.5418
KT823508	77.2696
LS992248	74.5393
LN827564	62.1397
LN827550	75.2819
LN827524	75.3693
LN827572	75.378
LS992243	76.1982
